fips2010,fmr0_17,fmr1_17,fmr2_17,fmr3_17,fmr4_17,fmr_0_22,fmr_1_22,fmr_2_22,fmr_3_22,fmr_4_22,metro_code,metro
4806599999,525,632,828,1088,1306,621,713,908,1230,1421,METRO11100M11100,1
4806799999,432,512,681,949,1200,560,575,757,1061,1216,NCNTY48067N48067,0
4806999999,561,581,737,922,1168,560,664,757,1075,1105,NCNTY48069N48069,0
4807199999,701,797,976,1333,1690,944,1014,1208,1603,2058,METRO26420M26420,1
4807399999,564,567,754,989,1106,514,591,773,1044,1048,NCNTY48073N48073,0
4807599999,544,619,714,1039,1132,652,670,881,1089,1286,NCNTY48075N48075,0
4807799999,483,601,761,1063,1341,641,707,878,1197,1362,METRO48660M48660,1
4807999999,509,512,681,991,1079,560,600,757,936,1128,NCNTY48079N48079,0
4808199999,522,525,698,873,1106,560,575,757,936,1105,NCNTY48081N48081,0
4808399999,509,512,681,991,1141,602,618,813,1009,1102,NCNTY48083N48083,0
4808599999,689,837,1031,1390,1774,1076,1150,1362,1736,2280,METRO19100M19100,1
4808799999,518,538,681,852,1079,560,600,757,996,1105,NCNTY48087N48087,0
4808999999,518,547,681,991,1200,602,618,813,1081,1187,NCNTY48089N48089,0
4809199999,623,768,964,1273,1529,815,961,1165,1500,1849,METRO41700M41700,1
4809399999,515,518,681,922,1079,560,664,757,1075,1148,NCNTY48093N48093,0
4809599999,876,909,1151,1519,1824,693,743,937,1236,1368,NCNTY48095N48095,0
4809799999,624,628,835,1045,1151,690,766,933,1261,1265,NCNTY48097N48097,0
4809999999,590,594,789,1117,1390,637,641,815,1158,1395,METRO28660M28660,1
4810199999,518,538,681,899,1079,560,600,757,936,1296,NCNTY48101N48101,0
4810399999,518,538,681,926,1079,572,613,773,1060,1129,NCNTY48103N48103,0
4810599999,518,590,681,991,1079,560,600,757,998,1105,NCNTY48105N48105,0
4810799999,545,636,789,1149,1390,670,773,951,1348,1618,METRO31180M31180,1
4810999999,518,590,681,899,1079,608,652,822,1084,1200,NCNTY48109N48109,0
4811199999,609,693,800,1165,1268,566,671,765,946,1178,NCNTY48111N48111,0
4811399999,689,837,1031,1390,1774,1076,1150,1362,1736,2280,METRO19100M19100,1
4811599999,512,515,681,991,1079,560,664,757,1023,1027,NCNTY48115N48115,0
4811799999,561,564,750,965,1034,680,685,901,1114,1222,NCNTY48117N48117,0
4811999999,525,529,703,1023,1239,560,640,757,1075,1105,NCNTY48119N48119,0
