,state_county_code,census_region,metro,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,ELI_2,median,I50_2,I80_2,ave_util_allowed,hh_income,months_from_movein,months_waiting,pct_utility_allow,PrincipalComponent1,PrincipalComponent2,PrincipalComponent3,Class,state_name,county_name
2627,36005,2,1,395,359,389,454,480,9100,28300,15200,24400,29,1519,23,-39,-3,6.446871442215844,-0.02749144831656281,1.5756746207492673,1,Montana,Jefferson County
2628,36007,2,1,91,71,88,98,63,2160,10700,4400,7050,10,408,7,-7,1,-1.73128714275171,-0.26933176082948274,-0.47867243418034267,2,Montana,Judith Basin County
2629,36009,2,0,95,62,74,90,66,2160,9900,5700,9100,3,696,4,-7,-3,-1.902675733377983,0.00866928634990918,-0.13530710789126071,2,Montana,Lake County
2630,36011,2,0,84,83,62,53,53,3760,18400,7150,11400,-22,-36,5,-12,0,-1.0758204242322775,0.5826018654578707,0.9473247274698835,2,Montana,Lewis and Clark County
2631,36013,2,0,-30,62,53,42,26,2210,20900,5800,9200,-25,-27,6,2,-4,-2.0078073141046766,0.6192548921594099,0.7138222501787083,2,Montana,Liberty County
2632,36015,2,1,161,102,129,204,216,2460,13300,5350,8450,5,-341,9,-2,8,-0.5666763814789476,-0.1536891365853457,-0.7546571257047637,2,Montana,Lincoln County
2633,36017,2,0,-62,47,50,5,-54,2160,13100,5700,9100,-16,-1662,-2,-1,-6,-2.7044045894845317,0.9000817814268978,0.6462957696071304,2,Montana,McCone County
2634,36019,2,0,115,-30,32,36,45,2950,17400,4950,7850,-18,324,0,-4,-5,-2.147230720536552,0.4939098563488179,0.4810068344672003,2,Montana,Madison County
2635,36021,2,0,72,123,62,78,30,3350,14100,5650,9000,-22,1880,1,-31,-24,-1.5635230884920708,0.9518033954860464,0.3286856448788519,2,Montana,Meagher County
2636,36023,2,0,71,84,85,58,306,2510,13100,5200,8400,-2,229,9,-2,-1,-1.5295902987253904,0.13446647716345037,-0.34801548133103805,2,Montana,Mineral County
2637,36025,2,0,63,63,-5,62,-17,2160,12900,5700,9100,-28,838,4,-2,0,-2.25481724164579,0.356330179824964,0.2837019154560757,2,Montana,Missoula County
2638,36027,2,1,176,86,143,168,134,5550,26300,9200,17150,18,1411,-3,-3,-6,1.3972099231992607,-0.16500118487319193,1.807836319218372,3,Montana,Musselshell County
2639,36029,2,1,116,146,153,161,145,4650,19500,7800,12500,-15,666,14,-22,-1,0.520217810611821,0.3592300187211645,0.6797420195935756,3,Montana,Park County
2640,36031,2,0,120,28,-39,33,-51,2160,9900,4200,6700,7,101,4,2,-2,-2.841335001967194,-0.07891321410202033,-0.03833487252123366,2,Montana,Petroleum County
2641,36033,2,0,-35,95,37,32,34,2160,13100,5700,9100,15,633,6,1,3,-2.263135416241818,-0.45208958525997384,0.3705343766572389,2,Montana,Phillips County
2642,36035,2,0,113,65,105,94,201,2160,10700,5700,9100,5,959,1,-16,1,-1.5516020468425407,-0.11535595321677275,-0.3545931944885764,2,Montana,Pondera County
2643,36037,2,0,25,37,50,61,72,4510,20000,7950,12650,-29,476,19,5,-4,-0.9372583131977924,0.5569721101351788,1.4696923170253988,2,Montana,Powder River County
2644,36039,2,0,82,38,99,68,-146,2760,15200,6050,9750,-13,674,-19,-3,-5,-1.9633007934296096,0.4299939080006965,0.6738747500747148,2,Montana,Powell County
2645,36041,2,0,56,3,114,36,152,2760,15400,6150,9850,-36,-1485,25,-9,-31,-1.6523134943680116,1.9641725800682523,0.38811906258116,2,Montana,Prairie County
